"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 18, 2020","166.34","164.90","170.45","162.00","106.17M","-0.40%"
"Mar 19, 2020","174.56","168.58","175.20","164.05","122.16M","4.94%"
"Mar 20, 2020","176.26","180.00","184.69","176.10","139.85M","0.97%"
"Mar 23, 2020","168.35","171.00","172.28","168.04","109.20M","-4.49%"
"Mar 24, 2020","177.95","174.39","179.99","172.61","89.48M","5.70%"
"Mar 25, 2020","180.20","183.00","186.90","175.26","114.69M","1.26%"
"Mar 26, 2020","181.50","179.45","184.90","177.28","54.02M","0.72%"
"Mar 27, 2020","174.50","181.24","181.37","172.00","55.62M","-3.86%"
"Mar 30, 2020","176.44","171.99","177.63","170.50","47.98M","1.11%"
"Mar 31, 2020","181.41","178.50","184.64","178.01","69.82M","2.82%"
"Apr 01, 2020","180.06","178.03","181.38","177.50","40.44M","-0.74%"
"Apr 02, 2020","187.04","183.80","190.00","180.25","87.83M","3.88%"
"Apr 03, 2020","189.77","187.01","193.85","185.72","92.36M","1.46%"
"Apr 06, 2020","191.10","192.24","193.44","189.44","62.93M","0.70%"
"Apr 07, 2020","191.22","192.90","195.13","189.80","67.00M","0.06%"
"Apr 08, 2020","194.11","189.70","194.11","188.10","49.27M","1.51%"
"Apr 09, 2020","193.86","195.69","196.26","189.88","84.34M","-0.13%"
"Apr 10, 2020","192.00","191.89","192.44","190.51","17.05M","-0.96%"
"Apr 13, 2020","188.07","192.26","192.36","186.07","28.55M","-2.05%"
"Apr 14, 2020","190.11","189.73","191.76","188.30","50.62M","1.08%"
"Apr 15, 2020","184.25","189.15","189.48","182.56","53.71M","-3.08%"
"Apr 16, 2020","184.30","185.15","189.16","182.75","56.39M","0.03%"
"Apr 17, 2020","184.68","187.06","187.87","183.54","38.78M","0.21%"
"Apr 20, 2020","185.51","184.12","186.25","183.00","34.29M","0.45%"
"Apr 21, 2020","181.92","183.15","184.50","179.05","66.95M","-1.94%"
"Apr 22, 2020","188.36","181.08","188.55","180.33","48.27M","3.54%"
"Apr 23, 2020","188.73","189.98","191.59","187.50","39.98M","0.20%"
"Apr 24, 2020","185.71","187.95","187.95","185.10","36.74M","-1.60%"
"Apr 27, 2020","186.29","186.53","188.47","185.69","23.62M","0.31%"
"Apr 28, 2020","188.50","185.93","190.65","185.76","44.19M","1.19%"
"Apr 29, 2020","193.87","189.90","195.23","188.53","56.26M","2.85%"
"Apr 30, 2020","190.00","195.44","196.20","189.62","72.12M","-2.00%"
"May 04, 2020","185.70","188.00","188.17","184.52","42.98M","-2.26%"
"May 05, 2020","190.00","188.39","190.39","187.30","39.66M","2.32%"
"May 06, 2020","187.05","190.53","191.05","187.05","46.40M","-1.55%"
"May 07, 2020","185.85","187.50","190.30","185.50","67.28M","-0.64%"
"May 08, 2020","185.34","186.33","186.64","183.10","61.00M","-0.27%"
"May 12, 2020","186.17","184.89","187.20","183.20","49.98M","0.45%"
"May 13, 2020","184.20","185.55","185.55","183.80","33.28M","-1.06%"
"May 14, 2020","183.91","183.23","184.85","181.68","49.41M","-0.16%"
"May 15, 2020","183.85","185.61","186.98","183.85","47.92M","-0.03%"
"May 18, 2020","192.50","185.50","192.50","185.14","60.17M","4.70%"
"May 19, 2020","194.20","193.00","194.39","191.10","60.40M","0.88%"
"May 20, 2020","196.74","193.57","197.27","192.79","73.86M","1.31%"
"May 21, 2020","194.74","196.05","199.26","191.40","90.17M","-1.02%"
"May 22, 2020","194.35","194.00","195.76","192.21","42.41M","-0.20%"
"May 25, 2020","197.55","195.10","197.55","195.10","20.06M","1.65%"
"May 26, 2020","196.86","198.95","202.30","196.30","66.18M","-0.35%"
"May 27, 2020","194.73","196.05","197.75","193.15","55.32M","-1.08%"
"May 28, 2020","196.86","194.36","196.98","194.17","39.98M","1.09%"
"May 29, 2020","199.95","196.25","199.95","193.20","172.68M","1.57%"
"Jun 01, 2020","198.72","200.25","202.47","197.15","54.26M","-0.62%"
"Jun 02, 2020","201.97","199.44","202.19","198.72","45.34M","1.64%"
"Jun 03, 2020","208.00","203.07","208.15","202.01","65.27M","2.99%"
"Jun 04, 2020","201.46","207.99","207.99","200.60","72.25M","-3.14%"
"Jun 05, 2020","203.05","202.69","204.84","201.51","44.84M","0.79%"
"Jun 08, 2020","204.91","204.98","206.50","202.97","40.15M","0.92%"
"Jun 09, 2020","204.84","205.44","206.10","201.57","35.38M","-0.03%"
"Jun 10, 2020","201.75","204.84","205.27","200.53","41.52M","-1.51%"
"Jun 11, 2020","196.74","200.20","200.20","195.15","48.98M","-2.48%"
"Jun 15, 2020","194.20","193.86","196.15","191.00","54.40M","-1.29%"
